Date,Balance,Equity
2023-06-14,10000,10000
2023-06-15,10000,10000
2023-06-16,10002,10002
2023-06-17,10002,10002
2023-06-18,10002,10002
2023-06-19,9933,9933
2023-06-20,9858,9858
2023-06-21,9859,9859
2023-06-22,9786,9786
2023-06-23,9720,9720
2023-06-24,9720,9720
2023-06-25,9720,9720
2023-06-26,9799,9799
2023-06-27,9848,9847
2023-06-28,9922,9922
2023-06-29,9997,9997
2023-06-30,10027,10027
2023-07-01,10027,10027
2023-07-02,10027,10027
2023-07-03,10149,10149
2023-07-04,10118,10117
2023-07-05,10181,10181
2023-07-06,10255,10255
2023-07-07,10265,10263
2023-07-08,10265,10263
2023-07-09,10265,10265
2023-07-10,10313,10313
2023-07-11,10395,10394
2023-07-12,10400,10393
2023-07-13,10400,10401
2023-07-14,10400,10421
2023-07-15,10400,10435
2023-07-16,10400,10448
2023-07-17,10400,10462
2023-07-18,10403,10478
2023-07-19,10810,10810
2023-07-20,10924,10924
2023-07-21,10927,10921
2023-07-22,10927,10918
2023-07-23,10927,10916
2023-07-24,10934,10924
2023-07-25,11120,11108
2023-07-26,11082,11082
2023-07-27,11369,11369
2023-07-28,11419,11418
2023-07-29,11419,11419
2023-07-30,11419,11419
2023-07-31,11514,11518
2023-08-01,11587,11585
2023-08-02,11696,11690
2023-08-03,11696,11693
2023-08-04,11934,11934
2023-08-05,11934,11934
2023-08-06,11934,11934
2023-08-07,12044,12044
2023-08-08,12262,12262
2023-08-09,12331,12330
2023-08-10,12354,12352
2023-08-11,12354,12347
2023-08-12,12354,12343
2023-08-13,12354,12340
2023-08-14,12354,12335
2023-08-15,12354,12324
2023-08-16,12354,12311
2023-08-17,12399,12343
2023-08-18,12616,12585
2023-08-19,12616,12581
2023-08-20,12616,12578
2023-08-21,12620,12569
2023-08-22,12620,12562
2023-08-23,12865,12865
2023-08-24,12916,12915
2023-08-25,13010,13010
2023-08-26,13010,13010
2023-08-27,13010,13010
2023-08-28,13053,13053
2023-08-29,13116,13116
2023-08-30,13116,13106
2023-08-31,13265,13265
2023-09-01,13289,13289
2023-09-02,13289,13288
2023-09-03,13289,13287
2023-09-04,13323,13322
2023-09-05,13382,13380
2023-09-06,13420,13420
2023-09-07,13483,13483
2023-09-08,13655,13655
2023-09-09,13655,13655
2023-09-10,13655,13655
2023-09-11,13749,13748
2023-09-12,13787,13786
2023-09-13,13787,13786
2023-09-14,13792,13789
2023-09-15,13871,13869
2023-09-16,13871,13868
2023-09-17,13871,13868
2023-09-18,13875,13870
2023-09-19,13972,13964
2023-09-20,13976,13971
2023-09-21,14185,14178
2023-09-22,14205,14199
2023-09-23,14205,14198
2023-09-24,14205,14198
2023-09-25,14209,14200
2023-09-26,14209,14203
2023-09-27,14256,14250
2023-09-28,14275,14269
2023-09-29,14120,14120
2023-09-30,14120,14120
2023-10-01,14120,14120
2023-10-02,14125,14122
2023-10-03,14125,14115
2023-10-04,14125,14110
2023-10-05,14125,14102
2023-10-06,14204,14192
2023-10-07,14204,14189
2023-10-08,14204,14187
2023-10-09,14277,14274
2023-10-10,14280,14280
2023-10-11,14372,14372
2023-10-12,14471,14471
2023-10-13,14471,14471
2023-10-14,14471,14470
2023-10-15,14471,14470
2023-10-16,14483,14482
2023-10-17,14484,14480
2023-10-18,14532,14522
2023-10-19,14823,14799
2023-10-20,14824,14789
2023-10-21,14824,14780
2023-10-22,14824,14773
2023-10-23,14823,14766
2023-10-24,14823,14759
2023-10-25,14825,14755
2023-10-26,14790,14712
2023-10-27,15158,15140
2023-10-28,15158,15138
2023-10-29,15158,15137
2023-10-30,15431,15439
2023-10-31,14712,14712
2023-11-01,14773,14770
2023-11-02,14833,14832
2023-11-03,14972,14964
2023-11-04,14972,14967
2023-11-05,14972,14969
2023-11-06,14963,14965
2023-11-07,15124,15128
2023-11-08,15124,15129
2023-11-09,15124,15134
2023-11-10,15136,15147
2023-11-11,15136,15148
2023-11-12,15136,15149
2023-11-13,15190,15206
2023-11-14,15416,15413
2023-11-15,15416,15418
2023-11-16,15416,15418
2023-11-17,15416,15416
2023-11-18,15416,15417
2023-11-19,15416,15417
2023-11-20,15578,15586
2023-11-21,15596,15609
2023-11-22,15596,15615
2023-11-23,15596,15617
2023-11-24,15596,15616
2023-11-25,15596,15619
2023-11-26,15596,15625
2023-11-27,15599,15625
2023-11-28,15600,15623
2023-11-29,15600,15630
2023-11-30,15602,15642
2023-12-01,15602,15648
2023-12-02,15602,15651
2023-12-03,15602,15656
2023-12-04,15602,15662
2023-12-05,15602,15671
2023-12-06,15733,15807
2023-12-07,15922,15992
2023-12-08,14837,14837
2023-12-09,14837,14837
2023-12-10,14837,14837
2023-12-11,14837,14837
2023-12-12,14868,14868
2023-12-13,14968,14967
2023-12-14,14969,14965
2023-12-15,15023,15023
2023-12-16,15023,15023
2023-12-17,15023,15023
2023-12-18,15023,15023
2023-12-19,15023,15023
2023-12-20,15023,15023
2023-12-21,15023,15023
2023-12-22,15023,15023
2023-12-23,15023,15023
2023-12-24,15023,15023
2023-12-25,15023,15023
2023-12-26,15024,15023
2023-12-27,15024,15022
2023-12-28,15024,15022
2023-12-29,15024,15024
2023-12-30,15024,15024
2023-12-31,15024,15024
2024-01-01,15024,15024
2024-01-02,15103,15103
2024-01-03,15103,15104
2024-01-04,15164,15164
2024-01-05,15232,15232
2024-01-06,15232,15232
2024-01-07,15232,15232
2024-01-08,15400,15400
2024-01-09,15400,15400
2024-01-10,15400,15399
2024-01-11,15400,15397
2024-01-12,15461,15461
2024-01-13,15461,15461
2024-01-14,15461,15461
2024-01-15,15461,15462
2024-01-16,15521,15521
2024-01-17,15521,15520
2024-01-18,15572,15572
2024-01-19,15572,15572
2024-01-20,15572,15572
2024-01-21,15572,15572
2024-01-22,15575,15575
2024-01-23,15635,15635
2024-01-24,15638,15638
2024-01-25,15638,15636
2024-01-26,15670,15670
2024-01-27,15670,15670
2024-01-28,15670,15670
2024-01-29,15670,15670
2024-01-30,15712,15712
2024-01-31,15712,15712
2024-02-01,15712,15712
2024-02-02,15843,15843
2024-02-03,15843,15843
2024-02-04,15843,15843
2024-02-05,15843,15843
2024-02-06,15843,15842
2024-02-07,15843,15845
2024-02-08,15902,15902
2024-02-09,15919,15919
2024-02-10,15919,15919
2024-02-11,15919,15919
2024-02-12,15919,15919
2024-02-13,15926,15926
2024-02-14,15948,15948
2024-02-15,15948,15948
2024-02-16,15949,15949
2024-02-17,15949,15949
2024-02-18,15949,15949
2024-02-19,15950,15950
2024-02-20,15957,15957
2024-02-21,15954,15954
2024-02-22,15954,15954
2024-02-23,15954,15954
2024-02-24,15954,15954
2024-02-25,15954,15954
2024-02-26,15954,15954
2024-02-27,16012,16010
2024-02-28,16012,16010
2024-02-29,16090,16090
2024-03-01,16120,16120
2024-03-02,16120,16120
2024-03-03,16120,16120
2024-03-04,16127,16127
2024-03-05,16133,16133
2024-03-06,16133,16132
2024-03-07,16160,16158
2024-03-08,16160,16158
2024-03-09,16160,16158
2024-03-10,16160,16158
2024-03-11,16160,16159
2024-03-12,16227,16225
2024-03-13,16227,16224
2024-03-14,16266,16264
2024-03-15,16314,16311
2024-03-16,16314,16311
2024-03-17,16314,16311
2024-03-18,16315,16313
2024-03-19,16357,16357
2024-03-20,16444,16444
2024-03-21,16444,16444
2024-03-22,16444,16444
2024-03-23,16444,16443
2024-03-24,16444,16442
2024-03-25,16444,16442
2024-03-26,16444,16441
2024-03-27,16444,16440
2024-03-28,16444,16440
2024-03-29,16444,16440
2024-03-30,16444,16439
2024-03-31,16444,16438
2024-04-01,16444,16436
2024-04-02,16444,16435
2024-04-03,16444,16436
2024-04-04,16595,16599
2024-04-05,16595,16600
2024-04-06,16595,16601
2024-04-07,16595,16601
2024-04-08,16595,16601
2024-04-09,16605,16612
2024-04-10,16606,16612
2024-04-11,16660,16668
2024-04-12,16660,16667
2024-04-13,16660,16667
2024-04-14,16660,16667
2024-04-15,16724,16721
2024-04-16,16724,16720
2024-04-17,16724,16720
2024-04-18,16724,16719
2024-04-19,16731,16725
2024-04-20,16731,16724
2024-04-21,16731,16722
2024-04-22,16731,16720
2024-04-23,16731,16720
2024-04-24,16731,16718
2024-04-25,16737,16721
2024-04-26,16961,16961
2024-04-27,16961,16961
2024-04-28,16961,16960
2024-04-29,16961,16960
2024-04-30,16975,16972
2024-05-01,16975,16973
2024-05-02,17037,17033
2024-05-03,17059,17059
2024-05-04,17059,17059
2024-05-05,17059,17059
2024-05-06,17055,17056
2024-05-07,17063,17063
2024-05-08,17135,17135
2024-05-09,17135,17128
2024-05-10,17135,17119
2024-05-11,17135,17111
2024-05-12,17135,17103
2024-05-13,17135,17094
2024-05-14,17135,17085
