Date,Balance,Equity
2023-06-30,5011,5011
2023-07-01,5011,5011
2023-07-02,5011,5011
2023-07-03,5011,5011
2023-07-04,5010,5010
2023-07-05,5010,5010
2023-07-06,5012,5012
2023-07-07,5027,5027
2023-07-08,5027,5027
2023-07-09,5027,5027
2023-07-10,5027,5027
2023-07-11,5027,5027
2023-07-12,5027,5027
2023-07-13,5027,4631
2023-07-14,5029,4824
2023-07-15,5029,4824
2023-07-16,5029,4841
2023-07-17,5032,4944
2023-07-18,5167,5167
2023-07-19,5167,5167
2023-07-20,5166,5166
2023-07-21,5171,5171
2023-07-22,5171,5171
2023-07-23,5171,5171
2023-07-24,5175,5175
2023-07-25,5193,5193
2023-07-26,5193,5193
2023-07-27,5210,5210
2023-07-28,5210,5210
2023-07-29,5210,5210
2023-07-30,5210,5210
2023-07-31,5210,5210
2023-08-01,5210,5181
2023-08-02,5216,5143
2023-08-03,5225,5140
2023-08-04,5227,5227
2023-08-05,5227,5227
2023-08-06,5227,5227
2023-08-07,5234,5234
2023-08-08,5240,5240
2023-08-09,5240,5240
2023-08-10,5240,5240
2023-08-11,5240,5240
2023-08-12,5240,5240
2023-08-13,5240,5240
2023-08-14,5240,5240
2023-08-15,5247,5247
2023-08-16,5247,5247
2023-08-17,5255,5255
2023-08-18,5255,5255
2023-08-19,5255,5255
2023-08-20,5255,5255
2023-08-21,5255,5255
2023-08-22,5255,5302
2023-08-23,5255,5315
2023-08-24,5255,5481
2023-08-25,5255,5501
2023-08-26,5255,5501
2023-08-27,5255,5485
2023-08-28,5255,5457
2023-08-29,5255,5425
2023-08-30,5255,5327
2023-08-31,5255,5379
2023-09-01,5255,5489
2023-09-02,5255,5489
2023-09-03,5255,5483
2023-09-04,5255,5442
2023-09-05,5256,5512
2023-09-06,5262,5611
2023-09-07,5260,5639
2023-09-08,5260,5658
2023-09-09,5260,5657
2023-09-10,5260,5622
2023-09-11,5260,5590
2023-09-12,5262,5620
2023-09-13,5272,5633
2023-09-14,5627,5627
2023-09-15,5628,5628
2023-09-16,5628,5628
2023-09-17,5628,5628
2023-09-18,5640,5640
2023-09-19,5649,5649
2023-09-20,5673,5673
2023-09-21,5685,5685
2023-09-22,5691,5691
2023-09-23,5691,5691
2023-09-24,5691,5691
2023-09-25,5692,5692
2023-09-26,5692,5692
2023-09-27,5689,5601
2023-09-28,5687,5687
2023-09-29,5736,5736
2023-09-30,5736,5736
2023-10-01,5736,5736
2023-10-02,5736,5659
2023-10-03,5736,5641
2023-10-04,5758,5758
2023-10-05,5758,5758
2023-10-06,5777,5777
2023-10-07,5777,5777
2023-10-08,5777,5777
2023-10-09,5777,5777
2023-10-10,5777,5732
2023-10-11,5790,5720
2023-10-12,5789,5789
2023-10-13,5790,5790
2023-10-14,5790,5790
2023-10-15,5790,5790
2023-10-16,5790,5790
2023-10-17,5806,5806
2023-10-18,5855,5855
2023-10-19,5869,5869
2023-10-20,5869,5869
2023-10-21,5869,5869
2023-10-22,5869,5869
2023-10-23,5869,5869
2023-10-24,5870,5870
2023-10-25,5871,5871
2023-10-26,5873,5873
2023-10-27,5873,5873
2023-10-28,5873,5873
2023-10-29,5873,5873
2023-10-30,5873,5873
2023-10-31,5872,5872
2023-11-01,5880,5880
2023-11-02,5892,5892
2023-11-03,5894,5764
2023-11-04,5894,5764
2023-11-05,5894,5785
2023-11-06,5894,5845
2023-11-07,5893,5893
2023-11-08,5893,5893
2023-11-09,5893,5893
2023-11-10,5891,5891
2023-11-11,5891,5891
2023-11-12,5891,5891
2023-11-13,5891,5891
2023-11-14,5891,5891
2023-11-15,5891,5891
2023-11-16,5891,5891
2023-11-17,5891,5891
2023-11-18,5891,5891
2023-11-19,5891,5891
2023-11-20,5891,5891
2023-11-21,5891,5891
2023-11-22,5891,5891
2023-11-23,5891,5891
2023-11-24,5891,5891
2023-11-25,5891,5891
2023-11-26,5891,5891
2023-11-27,5891,5891
2023-11-28,5893,5893
2023-11-29,5893,5893
2023-11-30,5893,5893
2023-12-01,5901,5901
2023-12-02,5901,5901
2023-12-03,5901,5901
2023-12-04,5908,5908
2023-12-05,5912,5912
2023-12-06,5912,5912
2023-12-07,5953,5953
2023-12-08,5963,5963
2023-12-09,5963,5963
2023-12-10,5963,5963
2023-12-11,5963,5963
2023-12-12,5963,5963
2023-12-13,5992,5992
2023-12-14,6004,5918
2023-12-15,6002,6002
2023-12-16,6002,6002
2023-12-17,6002,6002
2023-12-18,6002,6002
2023-12-19,6012,6012
2023-12-20,6025,6025
2023-12-21,6025,6025
2023-12-22,6038,6038
2023-12-23,6038,6038
2023-12-24,6038,6038
2023-12-25,6038,6038
2023-12-26,6037,6037
2023-12-27,6037,6037
2023-12-28,6037,6037
2023-12-29,6037,6037
2023-12-30,6037,6037
2023-12-31,6037,6037
2024-01-01,6037,6037
2024-01-02,6037,6037
2024-01-03,6037,6037
2024-01-04,6037,6037
2024-01-05,6057,6057
2024-01-06,6057,6057
2024-01-07,6057,6057
2024-01-08,6064,6064
2024-01-09,6064,6064
2024-01-10,6064,6064
2024-01-11,6058,6058
2024-01-12,6075,6075
2024-01-13,6075,6075
2024-01-14,6075,6075
2024-01-15,6075,6075
2024-01-16,6095,6095
2024-01-17,6097,6097
2024-01-18,6097,6097
2024-01-19,6097,6097
2024-01-20,6097,6097
2024-01-21,6097,6097
2024-01-22,6089,6089
2024-01-23,6112,6112
2024-01-24,6110,6110
2024-01-25,6116,6116
2024-01-26,6116,6116
2024-01-27,6116,6116
2024-01-28,6116,6116
2024-01-29,6116,6116
2024-01-30,6109,6109
2024-01-31,6109,6109
2024-02-01,6111,6111
2024-02-02,6110,6110
2024-02-03,6110,6110
2024-02-04,6110,6110
2024-02-05,6115,6115
2024-02-06,6115,6115
2024-02-07,6115,6115
